FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  453944         	|  277.09         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  23.848         	|  11             	|  262.33         	|  94.671         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.010965       	|  12572          	|  137.85         	|  49.748         	|
|  run_training_batch                                                                                                                                                   	|  0.014489       	|  6006           	|  87.018         	|  31.404         	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_step                                                                                                                      	|  0.014418       	|  6006           	|  86.597         	|  31.252         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.0096464      	|  6006           	|  57.936         	|  20.908         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.003329       	|  6006           	|  19.994         	|  7.2156         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.0011434      	|  12572          	|  14.375         	|  5.1878         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0019043      	|  6006           	|  11.437         	|  4.1275         	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00036374     	|  12572          	|  4.573          	|  1.6503         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00022968     	|  18578          	|  4.267          	|  1.5399         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.0006367      	|  6006           	|  3.824          	|  1.38           	|
|  [LightningModule]BaggingCNN_FFNN.transfer_batch_to_device                                                                                                            	|  0.00019851     	|  18578          	|  3.688          	|  1.331          	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_zero_grad                                                                                                                 	|  0.00016883     	|  6006           	|  1.014          	|  0.36594        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.041          	|  11             	|  0.451          	|  0.16276        	|
|  save_checkpoint                                                                                                                                                      	|  0.029067       	|  15             	|  0.436          	|  0.15735        	|
|  [LightningModule]BaggingCNN_FFNN.configure_gradient_clipping                                                                                                         	|  4.1459e-05     	|  6006           	|  0.249          	|  0.089861       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.5318e-05     	|  6006           	|  0.092          	|  0.033202       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_batch_end                                                                                	|  6.2838e-06     	|  12572          	|  0.079          	|  0.02851        	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  6.2043e-06     	|  12572          	|  0.078          	|  0.028149       	|
