FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  288952         	|  193.84         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  25.75          	|  7              	|  180.25         	|  92.986         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.011886       	|  8004           	|  95.139         	|  49.08          	|
|  run_training_batch                                                                                                                                                   	|  0.015292       	|  3822           	|  58.446         	|  30.151         	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_step                                                                                                                      	|  0.015218       	|  3822           	|  58.164         	|  30.006         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.010114       	|  3822           	|  38.655         	|  19.941         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.0035361      	|  3822           	|  13.515         	|  6.9721         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.0013237      	|  8004           	|  10.595         	|  5.4657         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0025748      	|  3822           	|  9.841          	|  5.0768         	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00041467     	|  8004           	|  3.319          	|  1.7122         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00026772     	|  11826          	|  3.166          	|  1.6333         	|
|  [LightningModule]BaggingCNN_FFNN.transfer_batch_to_device                                                                                                            	|  0.00022298     	|  11826          	|  2.637          	|  1.3604         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.00061983     	|  3822           	|  2.369          	|  1.2221         	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_zero_grad                                                                                                                 	|  0.00021376     	|  3822           	|  0.817          	|  0.42147        	|
|  save_checkpoint                                                                                                                                                      	|  0.069556       	|  9              	|  0.626          	|  0.32294        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.089429       	|  7              	|  0.626          	|  0.32294        	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  9.7451e-06     	|  8004           	|  0.078          	|  0.040239       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.6484e-05     	|  3822           	|  0.063          	|  0.0325         	|
|  [LightningModule]BaggingCNN_FFNN.configure_gradient_clipping                                                                                                         	|  1.2297e-05     	|  3822           	|  0.047          	|  0.024246       	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                            	|  8.1109e-06     	|  3822           	|  0.031          	|  0.015992       	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                          	|  7.8493e-06     	|  3822           	|  0.03           	|  0.015476       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_batch_start                                                                              	|  1.999e-06      	|  8004           	|  0.016          	|  0.0082541      	|
|  [Callback]ModelSummary.on_validation_batch_start                                                                                                                     	|  1.999e-06      	|  8004           	|  0.016          	|  0.0082541      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_batch_end                                                                                	|  1.999e-06      	|  8004           	|  0.016          	|  0.0082541      	|
|  [LightningModule]BaggingCNN_FFNN.on_validation_batch_end                                                                                                             	|  1.999e-06      	|  8004           	|  0.016          	|  0.0082541      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_start                                                                                   	|  4.1863e-06     	|  3822           	|  0.016          	|  0.0082541      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_zero_grad                                                                                    	|  4.1863e-06     	|  3822           	|  0.016          	|  0.0082541      	|
|  [LightningModule]BaggingCNN_FFNN.on_after_backward                                                                                                                   	|  4.1863e-06     	|  3822           	|  0.016          	|  0.0082541      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         	|  0.0022857      	|  7              	|  0.016          	|  0.0082541      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_epoch_end                                                                                     	|  0.0022857      	|  7              	|  0.016          	|  0.0082541      	|
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                      	|  0.015          	|  1              	|  0.015          	|  0.0077382      	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                       	|  3.9246e-06     	|  3822           	|  0.015          	|  0.0077382      	|
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                      	|  3.9246e-06     	|  3822           	|  0.015          	|  0.0077382      	|
|  [LightningModule]BaggingCNN_FFNN.configure_callbacks                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.setup                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.setup                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.configure_optimizers                                                                                                                	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_fit_start                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.on_fit_start                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_sanity_check_start                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_start                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_start    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.on_validation_model_eval                                                                                                            	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_start                                                                                    	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_start                                                                                                                           	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_start      	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.on_validation_start                                                                                                                 	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_start                                                                                                                   	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_epoch_start                                                                              	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_validation_epoch_start                                                                                                                  	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_epoch_start                                                                                                                     	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_epoch_start	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.on_validation_epoch_start                                                                                                           	|  0.0            	|  8              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.on_before_batch_transfer                                                                                                            	|  0.0            	|  11826          	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.on_after_batch_transfer                                                                                                             	|  0.0            	|  11826          	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_start	|  0.0            	|  8004           	|  0.0            	|  0.0            	|
