FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  577691         	|  379.19         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  26.143         	|  14             	|  366.0          	|  96.522         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.012103       	|  15998          	|  193.63         	|  51.063         	|
|  run_training_batch                                                                                                                                                   	|  0.016365       	|  7644           	|  125.09         	|  32.99          	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_step                                                                                                                      	|  0.016238       	|  7644           	|  124.13         	|  32.735         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.010811       	|  7644           	|  82.636         	|  21.793         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.0038069      	|  7644           	|  29.1           	|  7.6743         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.0008643      	|  15998          	|  13.827         	|  3.6465         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0016049      	|  7644           	|  12.268         	|  3.2353         	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00042787     	|  15998          	|  6.845          	|  1.8052         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.0002699      	|  23642          	|  6.381          	|  1.6828         	|
|  [LightningModule]BaggingCNN_FFNN.transfer_batch_to_device                                                                                                            	|  0.00023767     	|  23642          	|  5.619          	|  1.4819         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.00060557     	|  7644           	|  4.629          	|  1.2208         	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_zero_grad                                                                                                                 	|  0.00019662     	|  7644           	|  1.503          	|  0.39637        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.042357       	|  14             	|  0.593          	|  0.15639        	|
|  save_checkpoint                                                                                                                                                      	|  0.02885        	|  20             	|  0.577          	|  0.15217        	|
|  [LightningModule]BaggingCNN_FFNN.configure_gradient_clipping                                                                                                         	|  2.4725e-05     	|  7644           	|  0.189          	|  0.049843       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.439e-05      	|  7644           	|  0.11           	|  0.029009       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_batch_end                                                                                	|  3.8755e-06     	|  15998          	|  0.062          	|  0.016351       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_zero_grad                                                                                    	|  6.2794e-06     	|  7644           	|  0.048          	|  0.012659       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward        	|  6.2794e-06     	|  7644           	|  0.048          	|  0.012659       	|
|  [Callback]ModelSummary.on_validation_batch_end                                                                                                                       	|  2.9379e-06     	|  15998          	|  0.047          	|  0.012395       	|
|  [LightningModule]BaggingCNN_FFNN.on_before_batch_transfer                                                                                                            	|  1.988e-06      	|  23642          	|  0.047          	|  0.012395       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_batch_start                                                                              	|  2.0003e-06     	|  15998          	|  0.032          	|  0.0084391      	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  2.0003e-06     	|  15998          	|  0.032          	|  0.0084391      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_end  	|  2.0003e-06     	|  15998          	|  0.032          	|  0.0084391      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_after_backward                                                                                      	|  4.0555e-06     	|  7644           	|  0.031          	|  0.0081754      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_end                                                                                     	|  4.0555e-06     	|  7644           	|  0.031          	|  0.0081754      	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        	|  0.0010667      	|  15             	|  0.016          	|  0.0042195      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_start	|  1.0001e-06     	|  15998          	|  0.016          	|  0.0042195      	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                         	|  2.0931e-06     	|  7644           	|  0.016          	|  0.0042195      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  2.0931e-06     	|  7644           	|  0.016          	|  0.0042195      	|
|  [LightningModule]BaggingCNN_FFNN.on_before_backward                                                                                                                  	|  2.0931e-06     	|  7644           	|  0.016          	|  0.0042195      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_optimizer_step                                                                               	|  2.0931e-06     	|  7644           	|  0.016          	|  0.0042195      	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                            	|  2.0931e-06     	|  7644           	|  0.016          	|  0.0042195      	|
|  [LightningModule]BaggingCNN_FFNN.on_train_batch_end                                                                                                                  	|  2.0931e-06     	|  7644           	|  0.016          	|  0.0042195      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         	|  0.0011429      	|  14             	|  0.016          	|  0.0042195      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_epoch_end                                                                                     	|  0.0011429      	|  14             	|  0.016          	|  0.0042195      	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                       	|  0.0010714      	|  14             	|  0.015          	|  0.0039558      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_start                                                                                   	|  1.9623e-06     	|  7644           	|  0.015          	|  0.0039558      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  1.9623e-06     	|  7644           	|  0.015          	|  0.0039558      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_backward                                                                                     	|  1.9623e-06     	|  7644           	|  0.015          	|  0.0039558      	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                          	|  1.9623e-06     	|  7644           	|  0.015          	|  0.0039558      	|
|  [LightningModule]BaggingCNN_FFNN.configure_callbacks                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.setup                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.setup                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]BaggingCNN_FFNN.configure_optimizers                                                                                                                	|  0.0            	|  1              	|  0.0            	|  0.0            	|
